,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,params,split0_test_r2,split1_test_r2,split2_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,mean_train_r2,std_train_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_train_neg_root_mean_squared_error,split1_train_neg_root_mean_squared_error,split2_train_neg_root_mean_squared_error,mean_train_neg_root_mean_squared_error,std_train_neg_root_mean_squared_error
0,25.171373685201008,1.1842328521745553,0.5704468886057535,0.02389013175648963,0.75,0.4091,4,0.24000000000000002,27.93,0.8999999999999996,1.0,"{'subsample': np.float64(0.75), 'min_child_weight': np.float64(0.4091), 'max_depth': 4, 'learning_rate': np.float64(0.24000000000000002), 'gamma': np.float64(27.93), 'colsample_bytree': np.float64(0.8999999999999996), 'colsample_bylevel': np.float64(1.0)}",0.901213119849487,0.9003083649555434,0.9005844315574978,0.9007019721208428,0.00037860022235625693,17,0.9026462052455355,0.9023205733352652,0.904688743810603,0.9032185074638012,0.0010480792660352292,-691.7137117029816,-699.2883212890792,-696.7487748916968,-695.9169359612525,3.147765832046853,17,-690.2638627651487,-689.233323465598,-681.598071277131,-687.0317525026259,3.8651581733224023
1,44.467499574025474,2.8696582382928284,2.041353146235148,0.11753834367815652,0.04,0.3821,12,0.11750000000000001,24.815,0.3799999999999999,1.0,"{'subsample': np.float64(0.04), 'min_child_weight': np.float64(0.3821), 'max_depth': 12, 'learning_rate': np.float64(0.11750000000000001), 'gamma': np.float64(24.815), 'colsample_bytree': np.float64(0.3799999999999999), 'colsample_bylevel': np.float64(1.0)}",0.8627314918123684,0.8637514192014212,0.8621343304922154,0.8628724138353351,0.0006676517234696141,25,0.8927180297754054,0.8916554860547874,0.8933106457574984,0.892561387195897,0.0006847340523424016,-815.3840403241948,-817.5096905366828,-820.4971574559154,-817.7969627722642,2.097281685686776,25,-724.6062330877428,-725.8855961043174,-721.1353734945543,-723.8757342288715,2.006884010547257
2,27.628146489461262,1.907720907295305,0.9118617375691732,0.14547197811732973,0.14,0.4271,6,0.202,17.105,0.8899999999999996,1.0,"{'subsample': np.float64(0.14), 'min_child_weight': np.float64(0.4271), 'max_depth': 6, 'learning_rate': np.float64(0.202), 'gamma': np.float64(17.105), 'colsample_bytree': np.float64(0.8899999999999996), 'colsample_bylevel': np.float64(1.0)}",0.9078718253282593,0.9095864104903457,0.9085745652778229,0.908677600365476,0.0007037578852027211,11,0.917513236074559,0.9175361229552766,0.9184186203054818,0.9178226597784391,0.00042151130049854847,-667.9946482033641,-665.9532941450782,-668.1631663747874,-667.3703695744099,1.0043826205972435,11,-635.376032063417,-633.2811928493996,-630.5968238064512,-633.0846829064226,1.9560453316371476
3,57.3320886294047,2.1307117406039016,2.460371176401774,0.13965578556856453,0.93,0.1551,12,0.2495,2.275,0.3699999999999999,1.0,"{'subsample': np.float64(0.93), 'min_child_weight': np.float64(0.1551), 'max_depth': 12, 'learning_rate': np.float64(0.2495), 'gamma': np.float64(2.275), 'colsample_bytree': np.float64(0.3699999999999999), 'colsample_bylevel': np.float64(1.0)}",0.9075299775181425,0.9076721030846508,0.9056995173203433,0.9069671993077121,0.0008982624467969857,13,0.9882372948482889,0.9879350920181841,0.9878564931576375,0.9880096266747035,0.00016415245590122124,-669.2328203001059,-672.9664094326142,-678.5876814847421,-673.5956370724874,3.8449362814866492,13,-239.9342797493579,-242.2293271726571,-243.29227362190545,-241.8186268479735,1.401317660760316
4,22.403876384099323,0.1930006624502656,0.5386464595794678,0.011481452342481225,0.85,0.1391,4,0.073,9.63,0.6699999999999997,0.0,"{'subsample': np.float64(0.85), 'min_child_weight': np.float64(0.1391), 'max_depth': 4, 'learning_rate': np.float64(0.073), 'gamma': np.float64(9.63), 'colsample_bytree': np.float64(0.6699999999999997), 'colsample_bylevel': np.float64(0.0)}",0.4771395334525178,0.47399562989674604,0.47150671479979334,0.474213959383019,0.002304764965175749,45,0.47476531486030704,0.4757939115700278,0.4739013657372988,0.4748201973892112,0.0007736026116937918,-1591.3644528876036,-1606.2812574493832,-1606.4556879124414,-1601.3671327498093,7.0733212291418575,45,-1603.3022210826741,-1596.672135770246,-1601.3631972200976,-1600.4458513576726,2.7833613235318797
5,32.3524440129598,0.4070454417234315,1.1386768023173015,0.024500384509527327,0.8,0.2601,9,0.1905,36.5,0.4199999999999998,0.0,"{'subsample': np.float64(0.8), 'min_child_weight': np.float64(0.2601), 'max_depth': 9, 'learning_rate': np.float64(0.1905), 'gamma': np.float64(36.5), 'colsample_bytree': np.float64(0.4199999999999998), 'colsample_bylevel': np.float64(0.0)}",0.6577895162598937,0.6668215409717911,0.7107195324748824,0.678443529902189,0.023118529713247498,34,0.6666924518802485,0.6785571168932678,0.7236692807297198,0.6896396165010786,0.02454527930992479,-1287.4293474649671,-1278.395912456373,-1188.5256779899619,-1251.4503126371008,44.647007896166635,33,-1277.2069396879485,-1250.3068866430317,-1160.5686629551583,-1229.360829762046,49.867657347188135
6,32.39831837018331,0.3063347348316698,0.941099484761556,0.027562855697227707,0.27,0.2371,7,0.003,20.07,0.13,1.0,"{'subsample': np.float64(0.27), 'min_child_weight': np.float64(0.2371), 'max_depth': 7, 'learning_rate': np.float64(0.003), 'gamma': np.float64(20.07), 'colsample_bytree': np.float64(0.13), 'colsample_bylevel': np.float64(1.0)}",0.18806693895276339,0.1867368000964098,0.18719187342311328,0.1873318708240955,0.0005519763270930697,50,0.18819727271546682,0.18789769924015975,0.1882850061626533,0.18812665937275996,0.00016581384377072788,-1983.0646030874223,-1997.2962022750614,-1992.246315320797,-1990.8690402277605,5.891081896721953,50,-1993.2599844044348,-1987.3304475559403,-1989.1065165407688,-1989.8989828337146,2.4847339131189514
7,26.040075222651165,0.19812526866357227,0.6739628314971924,0.018656779949094048,0.29000000000000004,0.0951,5,0.1905,24.55,0.5199999999999998,1.0,"{'subsample': np.float64(0.29000000000000004), 'min_child_weight': np.float64(0.0951), 'max_depth': 5, 'learning_rate': np.float64(0.1905), 'gamma': np.float64(24.55), 'colsample_bytree': np.float64(0.5199999999999998), 'colsample_bylevel': np.float64(1.0)}",0.9049235822503102,0.9047541481213357,0.9042361701647035,0.9046379668454497,0.00029241227802472025,15,0.9090493872819685,0.9079934120589921,0.9097799718831607,0.9089409237413738,0.0007333813269425986,-678.598905480555,-683.5179922484481,-683.8325464606854,-681.9831480632296,2.396463989839973,15,-667.1776814403343,-668.9199960191238,-663.1438328897469,-666.4138367830683,2.4191746691269826
8,36.59005912144979,0.14497344666641468,1.27971617380778,0.02133561481381074,0.43,0.2051,9,0.1955,21.94,0.7099999999999996,1.0,"{'subsample': np.float64(0.43), 'min_child_weight': np.float64(0.2051), 'max_depth': 9, 'learning_rate': np.float64(0.1955), 'gamma': np.float64(21.94), 'colsample_bytree': np.float64(0.7099999999999996), 'colsample_bylevel': np.float64(1.0)}",0.9186340517726461,0.9201783187007636,0.9175646258089409,0.9187923320941168,0.001072889285470083,3,0.9506688943773325,0.9512621429708569,0.951557908423554,0.9511629819239144,0.00036964954440464105,-627.7664398059642,-625.7305389188474,-634.4622989510505,-629.3197592252873,3.7301035936311044,3,-491.3592313658415,-486.8530899418725,-485.9232723386822,-488.045197882132,2.3739213188535517
9,61.88975588480631,0.17960652911039054,2.0448461373647056,0.11153554029725891,0.5700000000000001,0.2171,12,0.1595,10.345,0.9799999999999995,1.0,"{'subsample': np.float64(0.5700000000000001), 'min_child_weight': np.float64(0.2171), 'max_depth': 12, 'learning_rate': np.float64(0.1595), 'gamma': np.float64(10.345), 'colsample_bytree': np.float64(0.9799999999999995), 'colsample_bylevel': np.float64(1.0)}",0.9191312673633476,0.9203770740581179,0.917775757268621,0.9190946995633622,0.0010622978749943739,2,0.9810464786831562,0.9804824388928344,0.980672685664784,0.9807338677469248,0.0002342970431565975,-625.8454053684176,-624.9510213129923,-633.6492934109403,-628.1485733641167,3.9066969411336845,2,-304.5675636269888,-308.0899202538931,-306.9318881659341,-306.529790682272,1.4658355618440047
