,0
0,upgrade
1,weight
2,applicability
3,in.sqft
4,in.ahs_region
5,in.aiannh_area
6,in.area_median_income
7,in.ashrae_iecc_climate_zone_2004
8,in.ashrae_iecc_climate_zone_2004_2_a_split
9,in.bathroom_spot_vent_hour
10,in.battery
11,in.bedrooms
12,in.building_america_climate_zone
13,in.cec_climate_zone
14,in.ceiling_fan
15,in.census_division
16,in.census_division_recs
17,in.census_region
18,in.city
19,in.clothes_dryer
20,in.clothes_dryer_usage_level
21,in.clothes_washer
22,in.clothes_washer_presence
23,in.clothes_washer_usage_level
24,in.cooking_range
25,in.cooking_range_usage_level
26,in.cooling_setpoint
27,in.cooling_setpoint_has_offset
28,in.cooling_setpoint_offset_magnitude
29,in.cooling_setpoint_offset_period
30,in.corridor
31,in.county
32,in.county_and_puma
33,in.dehumidifier
34,in.dishwasher
35,in.dishwasher_usage_level
36,in.door_area
37,in.doors
38,in.duct_leakage_and_insulation
39,in.duct_location
40,in.eaves
41,in.electric_vehicle
42,in.emissions_electricity_folders
43,in.emissions_electricity_units
44,in.emissions_electricity_values_or_filepaths
45,in.emissions_fossil_fuel_units
46,in.emissions_fuel_oil_values
47,in.emissions_natural_gas_values
48,in.emissions_propane_values
49,in.emissions_scenario_names
50,in.emissions_types
51,in.energystar_climate_zone_2023
52,in.federal_poverty_level
53,in.generation_and_emissions_assessment_region
54,in.geometry_attic_type
55,in.geometry_building_horizontal_location_mf
56,in.geometry_building_horizontal_location_sfa
57,in.geometry_building_level_mf
58,in.geometry_building_number_units_mf
59,in.geometry_building_number_units_sfa
60,in.geometry_building_type_acs
61,in.geometry_building_type_height
62,in.geometry_building_type_recs
63,in.geometry_floor_area
64,in.geometry_floor_area_bin
65,in.geometry_foundation_type
66,in.geometry_garage
67,in.geometry_stories
68,in.geometry_stories_low_rise
69,in.geometry_story_bin
70,in.geometry_wall_exterior_finish
71,in.geometry_wall_type
72,in.has_pv
73,in.heating_fuel
74,in.heating_setpoint
75,in.heating_setpoint_has_offset
76,in.heating_setpoint_offset_magnitude
77,in.heating_setpoint_offset_period
78,in.holiday_lighting
79,in.hot_water_distribution
80,in.hot_water_fixtures
81,in.household_has_tribal_persons
82,in.hvac_cooling_efficiency
83,in.hvac_cooling_partial_space_conditioning
84,in.hvac_cooling_type
85,in.hvac_has_ducts
86,in.hvac_has_shared_system
87,in.hvac_has_zonal_electric_heating
88,in.hvac_heating_efficiency
89,in.hvac_heating_type
90,in.hvac_heating_type_and_fuel
91,in.hvac_secondary_heating_efficiency
92,in.hvac_secondary_heating_fuel
93,in.hvac_secondary_heating_partial_space_conditioning
94,in.hvac_shared_efficiencies
95,in.hvac_system_is_faulted
96,in.hvac_system_single_speed_ac_airflow
97,in.hvac_system_single_speed_ac_charge
98,in.hvac_system_single_speed_ashp_airflow
99,in.hvac_system_single_speed_ashp_charge
100,in.income
101,in.income_recs_2015
102,in.income_recs_2020
103,in.infiltration
104,in.insulation_ceiling
105,in.insulation_floor
106,in.insulation_foundation_wall
107,in.insulation_rim_joist
108,in.insulation_roof
109,in.insulation_slab
110,in.insulation_wall
111,in.interior_shading
112,in.iso_rto_region
113,in.lighting
114,in.lighting_interior_use
115,in.lighting_other_use
116,in.location_region
117,in.mechanical_ventilation
118,in.misc_extra_refrigerator
119,in.misc_freezer
120,in.misc_gas_fireplace
121,in.misc_gas_grill
122,in.misc_gas_lighting
123,in.misc_hot_tub_spa
124,in.misc_pool
125,in.misc_pool_heater
126,in.misc_pool_pump
127,in.misc_well_pump
128,in.natural_ventilation
129,in.neighbors
130,in.occupants
131,in.orientation
132,in.overhangs
133,in.plug_load_diversity
134,in.plug_loads
135,in.puma
136,in.puma_metro_status
137,in.pv_orientation
138,in.pv_system_size
139,in.radiant_barrier
140,in.range_spot_vent_hour
141,in.reeds_balancing_area
142,in.refrigerator
143,in.refrigerator_usage_level
144,in.roof_material
145,in.simulation_control_run_period_begin_day_of_month
146,in.simulation_control_run_period_begin_month
147,in.simulation_control_run_period_calendar_year
148,in.simulation_control_run_period_end_day_of_month
149,in.simulation_control_run_period_end_month
150,in.simulation_control_timestep
151,in.solar_hot_water
152,in.state
153,in.tenure
154,in.units_represented
155,in.usage_level
156,in.utility_bill_electricity_fixed_charges
157,in.utility_bill_electricity_marginal_rates
158,in.utility_bill_fuel_oil_fixed_charges
159,in.utility_bill_fuel_oil_marginal_rates
160,in.utility_bill_natural_gas_fixed_charges
161,in.utility_bill_natural_gas_marginal_rates
162,in.utility_bill_propane_fixed_charges
163,in.utility_bill_propane_marginal_rates
164,in.utility_bill_scenario_names
165,in.utility_bill_simple_filepaths
166,in.vacancy_status
167,in.vintage
168,in.vintage_acs
169,in.water_heater_efficiency
170,in.water_heater_fuel
171,in.water_heater_in_unit
172,in.weather_file_city
173,in.weather_file_latitude
174,in.weather_file_longitude
175,in.window_areas
176,in.windows
177,in.representative_income
178,out.params.door_area_ft_2
179,out.params.duct_unconditioned_surface_area_ft_2
180,out.params.floor_area_attic_ft_2
