field_location,field_name,data_type,units,keep_for_model,field_type,encoder,label_encoder_dict,Manual Encoding Notes,field_description,allowable_enumerations_baseline,actual_enumerations,num_enumerations,additional_columns
metadata,in.ahs_region,string,,No,Location,,,,American Housing Survey region,"CBSA Atlanta-Sandy Springs-Roswell, GA|CBSA Boston-Cambridge-Newton, MA-NH|CBSA Chicago-Naperville-Elgin, IL-IN-WI|CBSA Dallas-Fort Worth-Arlington, TX|CBSA Detroit-Warren-Dearborn, MI|CBSA Houston-The Woodlands-Sugar Land, TX|CBSA Los Angeles-Long Beach-Anaheim, CA|CBSA Miami-Fort Lauderdale-West Palm Beach, FL|CBSA New York-Newark-Jersey City, NY-NJ-PA|CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD|CBSA Phoenix-Mesa-Scottsdale, AZ|CBSA Riverside-San Bernardino-Ontario, CA|CBSA San Francisco-Oakland-Hayward, CA|CBSA Seattle-Tacoma-Bellevue, WA|CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV|Non-CBSA East North Central|Non-CBSA East South Central|Non-CBSA Middle Atlantic|Non-CBSA Mountain|Non-CBSA New England|Non-CBSA Pacific|Non-CBSA South Atlantic|Non-CBSA West North Central|Non-CBSA West South Central","Non-CBSA New England|Non-CBSA South Atlantic|Non-CBSA Middle Atlantic|CBSA Houston-The Woodlands-Sugar Land, TX|CBSA New York-Newark-Jersey City, NY-NJ-PA|CBSA Dallas-Fort Worth-Arlington, TX|CBSA Chicago-Naperville-Elgin, IL-IN-WI|CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV|CBSA Miami-Fort Lauderdale-West Palm Beach, FL|CBSA Riverside-San Bernardino-Ontario, CA|CBSA Phoenix-Mesa-Scottsdale, AZ|Non-CBSA Pacific|Non-CBSA East North Central|CBSA Seattle-Tacoma-Bellevue, WA|CBSA Detroit-Warren-Dearborn, MI|Non-CBSA West North Central|Non-CBSA East South Central|CBSA San Francisco-Oakland-Hayward, CA|CBSA Boston-Cambridge-Newton, MA-NH|CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD|Non-CBSA West South Central|CBSA Los Angeles-Long Beach-Anaheim, CA|CBSA Atlanta-Sandy Springs-Roswell, GA|Non-CBSA Mountain",24,
metadata,in.aiannh_area,string,,No,Location,,,,The sample is located in American Indian/Alaska Native/Native Hawaiian Area,No|Yes,No|Yes,2,
metadata,in.area_median_income,string,,No,Unknowable,,,,Area median income of the household occupying the dwelling unit,0-30%|100-120%|120-150%|150%+|30-60%|60-80%|80-100%|Not Available,100-120%|60-80%|80-100%|120-150%|0-30%|30-60%|150%+|Not Available,8,
metadata,in.ashrae_iecc_climate_zone_2004,string,,No,Location,,,,IECC climate zone,1A|2A|2B|3A|3B|3C|4A|4B|4C|5A|5B|6A|6B|7A|7B,2A|3A|5A|4C|3C|2B|5B|6B|3B|7A|4B|6A|1A|7B|4A,15,
metadata,in.ashrae_iecc_climate_zone_2004_2_a_split,string,,Yes,Location,Ordinal,"3A|3|5A|5|2A - FL, GA, AL, MS|2|4C|4|3C|3|2B|2|5B|5|6B|6|3B|3|7A|7|4B|4|6A|6|1A|1|7B|7|2A - TX, LA|2|4A|4",n/a,IECC climate zone with split region 2A,"1A|2A - FL, GA, AL, MS|2A - TX, LA|2B|3A|3B|3C|4A|4B|4C|5A|5B|6A|6B|7A|7B","3A|5A|2A - FL, GA, AL, MS|4C|3C|2B|5B|6B|3B|7A|4B|6A|1A|7B|2A - TX, LA|4A",16,0
metadata,in.bathroom_spot_vent_hour,string,,Yes,Property,Ordinal,Hour4|4|Hour1|1|Hour17|17|Hour16|16|Hour15|15|Hour2|2|Hour5|5|Hour9|9|Hour20|20|Hour18|18|Hour6|6|Hour19|19|Hour12|12|Hour8|8|Hour0|0|Hour14|14|Hour23|23|Hour3|3|Hour11|11|Hour21|21|Hour22|22|Hour7|7|Hour10|10|Hour13|13,n/a,Bathroom spot ventilation daily start hour,Hour0|Hour1|Hour10|Hour11|Hour12|Hour13|Hour14|Hour15|Hour16|Hour17|Hour18|Hour19|Hour2|Hour20|Hour21|Hour22|Hour23|Hour3|Hour4|Hour5|Hour6|Hour7|Hour8|Hour9,Hour4|Hour1|Hour17|Hour16|Hour15|Hour2|Hour5|Hour9|Hour20|Hour18|Hour6|Hour19|Hour12|Hour8|Hour0|Hour14|Hour23|Hour3|Hour11|Hour21|Hour22|Hour7|Hour10|Hour13,24,0
metadata,in.battery,string,,No,Property,,,,Battery in the housing unit,?,None,1,
metadata,in.bedrooms,integer,,Yes,Property,n/a,n/a,n/a,Number of bedrooms,1|2|3|4|5,4|2|5|1|3,5,0
metadata,in.building_america_climate_zone,string,,Yes,Location,Binary,n/a,n/a,Building America climate zone,Cold|Hot-Dry|Hot-Humid|Marine|Mixed-Dry|Mixed-Humid|Very Cold,Marine|Very Cold|Mixed-Dry|Cold|Hot-Humid|Hot-Dry|Mixed-Humid,7,2
metadata,in.cec_climate_zone,string,,No,Location,,,,California Energy Code climate zone,1|10|11|12|13|14|15|16|2|3|4|5|6|7|8|9|None,8|15|9|14|6|4|12|11|2|16|10|5|None|13|1|3|7,17,
