bldg_id,choices
92,Single-Family Detached
93,Single-Family Detached
67,Single-Family Detached
95,5 to 9 Unit
21,Single-Family Detached
74,Single-Family Detached
36,Single-Family Detached
2,Mobile Home
51,Single-Family Detached
44,Single-Family Detached
92,Single-Family Detached
18,Single-Family Detached
41,Single-Family Detached
40,Mobile Home
5,Single-Family Detached
65,Single-Family Detached
26,Single-Family Detached
57,10 to 19 Unit
58,Single-Family Detached
8,Single-Family Attached
43,Single-Family Detached
46,Single-Family Detached
87,2 Unit
22,Single-Family Detached
46,Single-Family Detached
39,Single-Family Detached
33,Single-Family Detached
27,Single-Family Detached
40,10 to 19 Unit
74,Single-Family Detached
83,Single-Family Detached
50,Single-Family Detached
97,Single-Family Detached
49,Single-Family Detached
46,Single-Family Detached
38,Single-Family Detached
36,Single-Family Detached
1,Single-Family Detached
96,Single-Family Detached
60,10 to 19 Unit
63,Single-Family Attached
68,Single-Family Detached
67,Single-Family Detached
78,10 to 19 Unit
68,2 Unit
5,Single-Family Detached
66,Single-Family Detached
10,Single-Family Detached
36,Single-Family Detached
57,Single-Family Detached
51,10 to 19 Unit
75,Single-Family Detached
65,Mobile Home
17,Mobile Home
27,Mobile Home
65,Single-Family Detached
68,Single-Family Detached
12,10 to 19 Unit
87,10 to 19 Unit
13,Single-Family Detached
21,Single-Family Detached
11,Single-Family Attached
91,Single-Family Detached
81,Single-Family Detached
38,Single-Family Detached
70,Single-Family Detached
83,Single-Family Detached
78,Single-Family Attached
82,Single-Family Detached
30,Single-Family Detached
72,Single-Family Detached
89,Single-Family Detached
14,Single-Family Detached
51,Single-Family Detached
47,Single-Family Detached
63,Single-Family Detached
86,Single-Family Detached
90,Single-Family Detached
20,3 or 4 Unit
58,Single-Family Detached
37,Single-Family Detached
29,Single-Family Detached
45,2 Unit
52,5 to 9 Unit
56,Single-Family Detached
20,Mobile Home
72,10 to 19 Unit
14,Single-Family Detached
12,Single-Family Detached
3,Single-Family Detached
12,10 to 19 Unit
38,10 to 19 Unit
16,Single-Family Detached
3,Single-Family Detached
34,Single-Family Attached
29,3 or 4 Unit
96,10 to 19 Unit
70,Single-Family Detached
29,10 to 19 Unit
49,20 to 49 Unit
88,Single-Family Detached
98,Single-Family Detached
50,5 to 9 Unit
84,Single-Family Detached
78,Single-Family Detached
73,Single-Family Detached
20,Single-Family Detached
20,10 to 19 Unit
64,Single-Family Detached
21,Single-Family Detached
58,Single-Family Detached
95,Single-Family Detached
38,Single-Family Detached
84,Single-Family Detached
73,Single-Family Detached
33,Single-Family Detached
6,2 Unit
88,Single-Family Detached
80,Single-Family Detached
92,Single-Family Detached
49,Single-Family Detached
29,2 Unit
4,Single-Family Detached
16,Single-Family Detached
86,Mobile Home
69,Single-Family Detached
73,5 to 9 Unit
18,Single-Family Detached
0,Single-Family Detached
78,Single-Family Detached
76,Single-Family Detached
7,Single-Family Detached
35,Single-Family Detached
22,Single-Family Detached
66,Single-Family Detached
15,Single-Family Detached
79,Single-Family Detached
18,Single-Family Detached
80,Single-Family Detached
94,Single-Family Detached
7,Single-Family Detached
65,Single-Family Detached
14,2 Unit
8,20 to 49 Unit
86,Single-Family Detached
9,Single-Family Attached
24,Single-Family Detached
88,Single-Family Detached
74,5 to 9 Unit
43,Single-Family Detached
30,2 Unit
76,Single-Family Detached
35,50 or more Unit
68,Single-Family Detached
99,10 to 19 Unit
70,50 or more Unit
91,Single-Family Detached
80,20 to 49 Unit
11,Single-Family Attached
92,Single-Family Detached
40,10 to 19 Unit
95,Single-Family Detached
71,5 to 9 Unit
2,Single-Family Detached
82,Single-Family Detached
86,Mobile Home
32,Single-Family Detached
86,Single-Family Detached
82,Single-Family Detached
30,Single-Family Detached
66,10 to 19 Unit
41,Single-Family Attached
10,10 to 19 Unit
5,Single-Family Detached
35,Single-Family Detached
64,10 to 19 Unit
13,Single-Family Detached
76,20 to 49 Unit
41,20 to 49 Unit
98,Single-Family Detached
89,10 to 19 Unit
54,Single-Family Detached
70,50 or more Unit
78,Single-Family Detached
96,Single-Family Detached
14,Single-Family Attached
97,Single-Family Detached
39,Mobile Home
31,Single-Family Detached
9,Single-Family Attached
77,Single-Family Detached
87,Single-Family Detached
25,20 to 49 Unit
55,10 to 19 Unit
14,Mobile Home
4,Single-Family Detached
50,Single-Family Detached
28,Single-Family Detached
72,Single-Family Detached
3,Single-Family Detached
38,Single-Family Detached
28,Single-Family Detached
85,Single-Family Detached
83,Single-Family Detached
71,Single-Family Attached
46,20 to 49 Unit
91,Single-Family Detached
47,Single-Family Detached
62,Single-Family Detached
9,Single-Family Detached
35,Mobile Home
32,50 or more Unit
39,Single-Family Detached
71,Single-Family Detached
67,Single-Family Detached
65,10 to 19 Unit
83,Single-Family Detached
