gisjoin,state,county,avg temp,max temp,min temp,hdd,cdd,avg rh,average dp,max dp,min dp,avg wind speed,max wind speed,avg ghr,max ghr,avg dnr,max dnr,avg dhr,max dhr
G0100010,AL,Autauga County,17.771198630137,36.7,-10.6,1564.08333333331,1371.07083333334,68.7271689497717,11.1370962611307,26.1415998848931,-18.8015528476501,2.9272602739726,12.3,185.076826484018,1008,165.36598173516,1015,83.5240867579909,643
G0400010,AZ,Apache County,9.79796803652968,33.3,-19.4,3604.53333333328,501.291666666667,51.4400684931507,-2.19515257654564,16.6836073610024,-22.6229235281648,2.90392694063927,16,217.322260273973,1099,278.554109589041,1074,58.6643835616438,569
G0500010,AR,Arkansas County,17.1059246575342,37,-7.5,1663.81666666669,1227.97916666669,70.6313926940639,11.2605939438712,27.0384719245992,-17.734281037217,3.74093607305936,20.7,189.980479452055,971,190.196347031963,992,73.9559360730594,613
G0600010,CA,Alameda County,14.7880707762557,38,-1.2,1546.25833333332,264.404166666666,72.59600456621,9.45933039486375,19.4698374598101,-9.67289544675913,3.07971461187215,12.4,203.204566210046,998,206.802054794521,904,75.1510273972603,454
G0800010,CO,Adams County,10.0167237442922,39.4,-23,3588.96666666709,565.570833333345,55.1457762557078,-1.28935111612486,18,-23.2601824400936,3.91474885844749,16.5,189.540296803653,1041,227.827397260274,1019,64.6085616438356,626
G0900010,CT,Fairfield County,9.93505707762557,34,-21,3447.71666666709,394.512499999999,72.7256849315068,4.48676415192447,26.0238244749664,-28.5080954304915,2.99448630136986,11.3,159.358219178082,950,153.836301369863,949,73.1648401826484,568
G1000010,DE,Kent County,12.287796803653,37.8,-16.2,2827.74583333359,633.291666666672,69.0367579908676,6.1357712889008,27.2,-23.74516838839,3.78619863013699,17.4,160.681278538813,985,147.597945205479,975,76.5157534246575,645
G1100010,DC,District of Columbia,14.1274543378995,36.7,-13.9,2419.87916666663,896.899999999991,66.454794520548,7.22274974120079,26.7985455635539,-28.5043658278951,4.00857305936073,13.4,166.27100456621,996,156.428310502283,979,74.4344748858448,559
G1200010,FL,Alachua County,20.081997716895,36.3,-3.3,857.325000000005,1507.75416666666,77.4934931506849,15.4619999502053,26.8228931375931,-16.9866596287232,3.06900684931507,14.4,188.516210045662,1043,169.732305936073,979,82.5020547945205,615
G1300010,GA,Appling County,18.2246803652968,39,-6.7,1368.9833333333,1341.49166666667,74.587100456621,12.8726320675525,30.1205541088098,-11.8598277503902,2.12926940639269,26.2,195.409703196347,997,188.438584474886,937,80.5307077625571,631
G1600010,ID,Ada County,11.1969292237443,38.3,-16.1,3174.83749999993,582.216666666666,54.7196347031963,0.607583612574686,16.6323443868349,-17.7614736910961,3.37663242009133,15.4,184.553082191781,1003,219.842351598174,1020,60.4003424657534,515
G1700010,IL,Adams County,12.0025342465753,34,-27.8,2957.86250000013,659.287500000018,73.685502283105,6.9827644158681,26.7277196240205,-35.3121581296435,4.26229452054795,17.5,155.563698630137,976,145.712899543379,946,72.1010273972603,624
G1800010,IN,Adams County,9.69877853881279,35,-23.3,3679.20833333325,539.762499999998,71.8204337899543,4.34773307045869,25.6191292609519,-29.4575771184128,4.47534246575342,15.4,161.357305936073,996,141.27203196347,932,77.847602739726,499
G1900010,IA,Adair County,10.4293378995434,36,-23,3492.93333333375,620.141666666685,74.6514840182648,5.67960389760225,28.0027791913508,-27.4344203559109,4.48116438356164,19,161.501255707763,982,163.427168949772,967,69.0560502283105,568
G2000010,KS,Allen County,14.2006621004566,40,-21.7,2567.66666666669,1071.40833333336,71.6236301369863,8.49758264375637,28.3,-44.8755167019817,4.36030821917808,19.1,173.683333333333,972,174.128881278539,964,68.736301369863,579
G2100010,KY,Adair County,12.9250799086758,36.7,-22.3,2762.73333333356,800.887500000018,69.2159817351598,6.63932585575701,27.2097991437425,-24.4467419434948,3.01312785388128,12.9,162.646232876712,1004,143.812557077626,990,77.5875570776256,667
G2200010,LA,Acadia Parish,19.7465525114155,39.5,-3.4,994.675000000001,1522.66666666668,73.9019406392694,14.4087670382214,27.6550859051117,-16.1343973297476,3.49187214611872,15.4,192.959474885845,1022,179.562899543379,995,78.8851598173516,608
G2300010,ME,Androscoggin County,7.24130136986301,33.8,-27.8,4336.28333333372,299.858333333331,67.02899543379,0.681433065842628,23.0886441673934,-35.1934519667473,2.56173515981735,14.9,155.398173515982,970,166.53595890411,986,63.0055936073059,626
G2400010,MD,Allegany County,12.3259931506849,51,-21.2,2932.96666666681,752.45416666667,63.598401826484,4.78305771796257,32.2354165152815,-24.3636141375317,2.68311643835616,14.4,172.512214611872,1037,172.454223744292,986,71.6543378995434,619
G2500010,MA,Barnstable County,10.462796803653,32,-19,3151.14166666692,290.562499999994,76.2754566210046,6.0335537735344,24.0671160371615,-24.2663937869781,4.56060502283105,23.7,150.434817351598,965,137.871689497717,942,70.6743150684931,499
G2600010,MI,Alcona County,8.25739726027397,37,-24,4028.76666666707,363.216666666661,71.8175799086758,2.92688671874415,25.0326536362626,-27.4344203559109,3.75912100456621,18,149.709474885845,956,148.830479452055,942,68.0095890410959,489
G2700010,MN,Aitkin County,4.83490867579909,32,-40.6,5142.1583333338,227.399999999999,76.2900684931507,0.581242050949415,26.0181340369398,-43.2755096041972,2.59986301369863,12.9,136.847602739726,952,139.312899543379,962,64.3213470319635,618
G2800010,MS,Adams County,18.3741324200913,35.2,-6,1179.22499999993,1206.28333333338,73.1964611872146,12.9650805478324,27.0035614467625,-13.0839601913287,2.55786529680365,11.8,193.322716894977,1024,185.313470319635,979,77.7404109589041,669
G2900010,MO,Adair County,10.2112671232877,34,-27.3,3609.15000000032,656.762500000026,73.8538812785388,5.33142483379405,27.0169711338115,-44.0416127140473,4.17335616438356,28.8,161.178082191781,971,159.617237442922,952,69.0586757990868,559
G3000010,MT,Beaverhead County,4.79956621004566,33.4,-27.2,5184.74583333338,257.0875,61.9373287671233,-3.35143315145919,14.9833057381418,-31.0100614221977,2.687899543379,17.5,171.363584474886,1023,219.0649543379,1015,60.3517123287671,523
G3100010,NE,Adams County,10.608002283105,39,-22,3524.81666666693,717.237500000031,67.053196347032,3.90154215773325,26,-25.5144047019216,4.69865296803653,18,176.135159817352,981,199.930365296804,978,62.6818493150685,555
G3200010,NV,Churchill County,12.1908561643836,39,-20,3063.95416666677,834.116666666688,42.6608447488584,-2.53091480657247,20.4374029713754,-32.2255013394152,2.95415525114155,21.1,217.632762557078,1034,283.030936073059,996,56.2723744292237,455
G3300010,NH,Belknap County,8.21139269406393,34.4,-22.8,4026.87500000037,344.533333333332,65.5312785388128,1.35724038421322,23.2542007565536,-33.0866425385528,2.9526598173516,13.9,160.735388127854,965,165.681506849315,919,65.5607305936073,553
G3400010,NJ,Atlantic County,12.070901826484,36.1,-10.6,2865.25833333332,591.637499999998,71.8639269406393,6.5837238421985,24.5481751045979,-21.1384832572495,4.14243150684932,17,168.944063926941,968,166.204223744292,972,73.1131278538813,479
G3500010,NM,Bernalillo County,13.6757876712329,38.9,-9.4,2496.89583333329,809.058333333323,42.4010273972603,-0.794481210040722,18.3908870510454,-27.0372468531393,3.89582191780822,21.6,226.073059360731,1088,279.220205479452,1058,60.9109589041096,564
G3600010,NY,Albany County,8.99046803652968,35.6,-19.4,3798.4166666666,400.437500000001,69.5904109589041,3.14448043624001,24.5035102674147,-25.9692980639651,4.29163242009132,15.9,160.919748858447,1036,143.586872146119,977,78.8591324200913,514
G3700010,NC,Alamance County,15.1518493150685,37,-10,2118.90833333337,969.83333333337,68.8875570776256,8.70467836850622,25.5915140009212,-18.5637947868806,2.85682648401827,27.7,163.420433789954,991,145.378082191781,960,76.7327625570776,633
G3800010,ND,Adams County,5.32006849315069,39.4,-33.9,5135.1750000004,397.499999999998,67.7504566210046,-1.18620071920156,24.0060870171997,-39.568656232273,5.69131278538813,25.7,156.128082191781,960,176.835844748858,990,61.2925799086758,470
G3900010,OH,Adams County,12.3039726027397,36.6,-16.7,2832.01249999996,643.462500000014,73.9085616438356,7.1949328465857,27.6587859827224,-24.4314240049233,2.7528196347032,20.1,154.528652968037,985,136.852853881279,955,75.4826484018265,596
G4000010,OK,Adair County,15.6097260273973,38.9,-16.7,2170.44999999999,1188.49999999999,70.2270547945206,9.51081234184867,25.0498791426035,-24.5562959021107,3.34155251141553,14.4,191.695547945205,1007,194.49497716895,983,74.1340182648402,633
G4100010,OR,Baker County,7.85518264840183,40,-18,4191.30416666668,378.945833333334,64.175,0.318858547214692,17.6726419360879,-21.3494327040476,3.08232876712329,25.7,176.786757990868,994,210.918721461187,993,60.5608447488584,445
G4200010,PA,Adams County,11.5343264840183,37.2,-15,3064.91666666668,595.445833333331,67.8824200913242,5.21020610638129,25.5618480253319,-23.3256273635704,3.29095890410959,17,162.185502283105,986,146.17602739726,969,78.0452054794521,529
G4400010,RI,Bristol County,10.5195433789954,35,-15.6,3311.04999999992,471.183333333333,68.4195205479452,4.29979178575141,25.5618480253319,-23.4790544507368,4.3727397260274,23.2,158.67397260274,963,145.205136986301,936,75.6409817351598,478
G4500010,SC,Abbeville County,15.3492694063927,38.8,-12.8,2027.46666666662,950.45000000003,68.7730593607306,8.64414602581759,26.0238244749664,-24.6356602949209,3.02409817351598,28.2,181.011872146119,997,175.601255707763,993,75.9070776255708,629
