,column,type,enumerations,num_enumerations
0,in.ashrae_iecc_climate_zone_2004_2_a_split,category,"3C|2A - FL, GA, AL, MS|3B|5A|2A - TX, LA|4A|3A",7
1,in.bathroom_spot_vent_hour,category,Hour5|Hour0|Hour20|Hour18|Hour22|Hour16|Hour21|Hour4,8
2,in.bedrooms,int64,4|2|3,3
3,in.building_america_climate_zone,category,Marine|Hot-Humid|Hot-Dry|Cold|Mixed-Humid,5
4,in.ceiling_fan,category,"Standard Efficiency|None|Standard Efficiency, No usage",3
5,in.clothes_dryer,category,Electric|None|Gas,3
6,in.clothes_dryer_usage_level,category,100% Usage|80% Usage|120% Usage,3
7,in.clothes_washer,category,Standard|None|EnergyStar,3
8,in.clothes_washer_presence,category,Yes|None,2
9,in.clothes_washer_usage_level,category,100% Usage|80% Usage|120% Usage,3
10,in.cooking_range,category,Electric Resistance|Gas|Propane,3
11,in.cooking_range_usage_level,category,100% Usage|80% Usage|120% Usage,3
12,in.cooling_setpoint,category,75F|70F|68F|72F,4
13,in.cooling_setpoint_has_offset,category,No|Yes,2
14,in.cooling_setpoint_offset_magnitude,category,0F|5F|2F,3
15,in.cooling_setpoint_offset_period,category,None|Night Setback -2h|Night Setback -1h|Night Setback +1h|Night Setback|Night Setup -3h,6
16,in.corridor,category,Not Applicable|Double-Loaded Interior,2
17,in.county,category,G0600530|G1301310|G0600370|G1801770|G0100030|G4802010|G3700230|G1900570|G2400370|G1301350,10
18,in.dishwasher,category,318 Rated kWh|290 Rated kWh|None,3
19,in.duct_location,category,Vented Crawlspace|Garage|Living Space|Heated Basement|Vented Attic|Unheated Basement,6
20,in.geometry_attic_type,category,Vented Attic|None,2
21,in.geometry_building_horizontal_location_mf,category,None|Left,2
22,in.geometry_building_horizontal_location_sfa,category,None,1
23,in.geometry_building_level_mf,category,None|Top,2
24,in.geometry_building_number_units_mf,int64,0|36,2
25,in.geometry_building_number_units_sfa,int64,0,1
26,in.geometry_building_type_acs,category,Single-Family Detached|20 to 49 Unit,2
27,in.geometry_building_type_height,category,"Single-Family Detached|Multifamily with 5+ units, 1-3 stories",2
28,in.geometry_floor_area,category,3000-3999|1500-1999|1000-1499|500-749|2500-2999|2000-2499,6
29,in.geometry_foundation_type,category,Vented Crawlspace|Slab|Heated Basement|Unheated Basement,4
30,in.geometry_garage,category,2 Car|None|3 Car,3
31,in.geometry_stories,int64,1|2,2
32,in.geometry_stories_low_rise,category,1|2,2
33,in.geometry_wall_exterior_finish,category,"Vinyl, Light|Wood, Medium/Dark|Stucco, Light|Brick, Medium/Dark",4
34,in.geometry_wall_type,category,Wood Frame,1
35,in.has_pv,category,No,1
36,in.heating_fuel,category,Electricity|Natural Gas|Propane,3
37,in.heating_setpoint,category,65F|55F|60F|72F|75F|70F|68F,7
38,in.heating_setpoint_has_offset,category,Yes|No,2
39,in.heating_setpoint_offset_magnitude,category,12F|3F|6F|0F,4
